Month,Sales,Profit,Expenses
Jan-2024,1200,300,800
Feb-2024,1350,350,850
Mar-2024,1500,400,900
Apr-2024,1600,420,950
May-2024,1700,450,980
Jun-2024,1800,500,1000
Jul-2024,2000,600,1100
Aug-2024,2100,650,1150
Sep-2024,1900,550,1050
Oct-2024,2200,700,1200
Nov-2024,2400,800,1300
Dec-2024,2600,900,1400
Jan-2025,2300,750,1250
Feb-2025,2450,780,1280
Mar-2025,2600,820,1350
Apr-2025,2700,850,1400
May-2025,2900,900,1500
Jun-2025,3100,1000,1600
Jul-2025,3300,1100,1700
Aug-2025,3500,1200,1800
Sep-2025,3400,1150,1750
Oct-2025,3600,1250,1850
Nov-2025,3800,1350,1950
Dec-2025,4000,1500,2100
